iter	Logloss
0	0.6852841169
1	0.677256517
2	0.6699179087
3	0.6633096316
4	0.6574419252
5	0.6500716378
6	0.6431359896
7	0.6359896734
8	0.6303256749
9	0.6233324761
10	0.6167573997
11	0.6105436379
12	0.6044178362
13	0.5985893834
14	0.5928469916
15	0.5878262809
16	0.5825275069
17	0.5776534131
18	0.5723217336
19	0.566841168
20	0.5617408363
21	0.5565791306
22	0.5543460147
23	0.5496366345
24	0.5450408646
25	0.5409255969
26	0.5378340257
27	0.5336931216
28	0.5285268016
29	0.5242112114
30	0.5200238955
31	0.5153109592
32	0.5114315493
33	0.5071462074
34	0.5045713826
35	0.5002171377
36	0.4967425182
37	0.4935321899
38	0.4905280297
39	0.4866389162
40	0.4825912964
41	0.4811465387
42	0.4777841828
43	0.4744581034
44	0.471042106
45	0.4684726865
46	0.4654227842
47	0.4625469268
48	0.4592480013
49	0.4559816811
50	0.4536157017
51	0.4506286489
52	0.4477629962
53	0.4450155214
54	0.4416255163
55	0.43957699
56	0.4371622682
57	0.4352981681
58	0.4329014228
59	0.4306632533
60	0.4278694355
61	0.4253292083
62	0.4231729696
63	0.420702551
64	0.4185350512
65	0.4162784657
66	0.4137654487
67	0.4118917909
68	0.4098219601
69	0.4076324671
70	0.4053883748
71	0.4028658221
72	0.400993641
73	0.3988859242
74	0.3967809088
75	0.3942202343
76	0.3926852508
77	0.3906339791
78	0.389277059
79	0.3877949125
80	0.3859997569
81	0.3848525403
82	0.3833399334
83	0.381729004
84	0.3799659002
85	0.3787055816
86	0.3773423453
87	0.3754363437
88	0.3734345294
89	0.3715451726
90	0.3698060626
91	0.3682855707
92	0.3670035024
93	0.365893984
94	0.3645028932
95	0.3629289273
96	0.3615649527
97	0.3600816021
98	0.3588487847
99	0.357082672
100	0.3553432196
101	0.3545698981
102	0.3536308658
103	0.3526141181
104	0.3513333555
105	0.3500901846
106	0.3492726231
107	0.3478989513
108	0.3466120392
109	0.3457607075
110	0.3441554154
111	0.3433782739
112	0.3424440067
113	0.3412116254
114	0.3402825404
115	0.3389273012
116	0.3381335544
117	0.3373105808
118	0.3365424491
119	0.3352136081
120	0.3340714377
121	0.3332839884
122	0.3325037718
123	0.3318881293
124	0.3307012225
125	0.3299400211
126	0.3294147957
127	0.3281319194
128	0.3271222021
129	0.3261093336
130	0.3250023984
131	0.3239871972
132	0.3227589058
133	0.3217930311
134	0.3206422589
135	0.3196094067
136	0.3189853548
137	0.3181612434
138	0.3174307233
139	0.3168987076
140	0.3160482499
141	0.3154005548
142	0.3145584592
143	0.3136508245
144	0.3131274862
145	0.3124456929
146	0.312024602
147	0.3112836504
148	0.3107046912
149	0.3098253267
150	0.309130519
151	0.3086972271
152	0.3081534249
153	0.307487393
154	0.3066841347
155	0.3059500386
156	0.305253851
157	0.3044870368
158	0.3039258744
159	0.3033457103
160	0.3030925462
161	0.302581662
162	0.3019161497
163	0.3014895609
164	0.3009554506
165	0.3004392953
166	0.2996556225
167	0.2992041515
168	0.2985350746
169	0.2979052809
170	0.2973778084
171	0.296716529
172	0.2960558023
173	0.2952121422
174	0.2947528008
175	0.2943305522
176	0.2942461298
177	0.2936189705
178	0.2930104573
179	0.2925542419
180	0.2919217168
181	0.2912697702
182	0.2907261406
183	0.2902882984
184	0.2899288672
185	0.2893784444
186	0.2891205706
187	0.2887670431
188	0.2884642161
189	0.2878979589
190	0.2872001568
191	0.2864832407
192	0.286124139
193	0.2854617883
194	0.2849260878
195	0.284315924
196	0.2838505392
197	0.2834163259
198	0.2829364003
199	0.282525403
200	0.2824186455
201	0.2818508943
202	0.2815388326
203	0.2811935579
204	0.2808467778
205	0.2801967287
206	0.2797998801
207	0.2794107407
208	0.2792114116
209	0.2787191725
210	0.2784408059
211	0.2779832544
212	0.2774946264
213	0.2772919344
214	0.2768864678
215	0.2764887146
216	0.276151803
217	0.2757960595
218	0.2752581376
219	0.27467156
220	0.2743020988
221	0.2740034862
222	0.2735647053
223	0.2733725302
224	0.272945453
225	0.2725064902
226	0.2721018755
227	0.2717831282
228	0.271386357
229	0.2711728804
230	0.2708629634
231	0.2702281436
232	0.2698920641
233	0.2696085544
234	0.2692953369
235	0.2690143839
236	0.2686683281
237	0.2684147809
238	0.26813638
239	0.267860347
240	0.2674768298
241	0.2669298045
242	0.2666504553
243	0.2662809008
244	0.2659363294
245	0.265692399
246	0.2654106054
247	0.2651076278
248	0.2647789487
249	0.2642826052
250	0.2639646327
251	0.2636485961
252	0.2632607556
253	0.2628403019
254	0.2625012593
255	0.2621140844
256	0.2620387873
257	0.2618261615
258	0.2615924775
259	0.261322588
260	0.2607258112
261	0.2606857885
262	0.2603950752
263	0.2601031369
264	0.2600739664
265	0.2597675324
266	0.2592188332
267	0.2588373521
268	0.258343036
269	0.2580371798
270	0.2578508647
271	0.2575136336
272	0.2570098129
273	0.2567772799
274	0.2563122434
275	0.2558067648
276	0.2555905996
277	0.2554625468
278	0.2550455011
279	0.2546160932
280	0.2541586573
281	0.2538210069
282	0.2535577506
283	0.2533049283
284	0.2529285027
285	0.2526249171
286	0.2523166761
287	0.2518801232
288	0.2517897765
289	0.2515203814
290	0.2513534032
291	0.2510724611
292	0.2507724183
293	0.2504320347
294	0.2501278753
295	0.2499008339
296	0.2497028824
297	0.2493699469
298	0.2489917489
299	0.2487705742
300	0.2484577656
301	0.2480194193
302	0.2476980118
303	0.2473978519
304	0.2472498189
305	0.2468589627
306	0.2466122625
307	0.246248618
308	0.245976903
309	0.2451861587
310	0.2448946801
311	0.2448313081
312	0.2447402813
313	0.2444089133
314	0.2441252695
315	0.2440472237
316	0.2437817317
317	0.2434152157
318	0.2433827198
319	0.2431233597
320	0.2426972158
321	0.242584806
322	0.2421330294
323	0.2419154279
324	0.2416295837
325	0.2414142941
326	0.2411729922
