iter	Passed	Remaining
0	2	2344
1	4	2409
2	6	2310
3	9	2314
4	11	2253
5	13	2221
6	15	2165
7	17	2131
8	19	2127
9	21	2123
10	23	2077
11	24	2053
12	26	2034
13	28	2000
14	30	1989
15	32	1978
16	33	1955
17	35	1931
18	37	1918
19	38	1905
20	40	1890
21	42	1875
22	43	1832
23	44	1826
24	46	1814
25	48	1807
26	49	1801
27	51	1792
28	53	1782
29	55	1780
30	56	1774
31	58	1769
32	60	1772
33	62	1764
34	63	1740
35	64	1729
36	66	1733
37	68	1726
38	69	1721
39	71	1725
40	73	1723
41	74	1703
42	76	1697
43	78	1703
44	80	1699
45	81	1693
46	83	1692
47	85	1689
48	86	1686
49	88	1681
50	90	1685
51	92	1679
52	93	1675
53	95	1678
54	97	1675
55	99	1671
56	100	1670
57	102	1662
58	104	1661
59	105	1659
60	121	1862
61	122	1855
62	124	1849
63	126	1845
64	127	1836
65	129	1830
66	131	1826
67	133	1822
68	134	1815
69	136	1810
70	138	1807
71	139	1800
72	141	1794
73	143	1790
74	144	1785
75	146	1780
76	148	1777
77	150	1774
78	151	1771
79	153	1769
80	155	1764
81	157	1761
82	158	1755
83	160	1754
84	162	1749
85	164	1745
86	166	1744
87	167	1740
88	169	1737
89	171	1734
90	173	1729
91	174	1725
92	176	1720
93	178	1716
94	179	1714
95	181	1712
96	183	1711
97	185	1708
98	187	1704
99	189	1704
100	191	1701
101	192	1696
102	195	1698
103	196	1695
104	198	1691
105	200	1687
106	201	1684
107	203	1680
108	205	1675
109	206	1672
110	208	1670
111	210	1666
112	211	1662
113	213	1662
114	215	1660
115	217	1655
116	219	1654
117	221	1652
118	222	1648
119	224	1647
120	226	1645
121	228	1645
122	230	1644
123	232	1641
124	234	1638
125	235	1636
126	237	1635
127	239	1633
128	241	1633
129	243	1632
130	245	1630
131	247	1629
132	249	1626
133	251	1623
134	252	1620
135	254	1618
136	256	1614
137	257	1610
138	259	1608
139	261	1605
140	263	1602
141	265	1602
142	267	1601
143	268	1598
144	270	1596
145	272	1593
146	274	1592
147	276	1589
148	278	1588
149	279	1584
150	281	1583
151	283	1581
152	285	1577
153	286	1574
154	288	1573
155	290	1572
156	292	1568
157	294	1567
158	295	1564
159	297	1562
160	299	1559
161	300	1556
162	302	1553
163	304	1550
164	306	1549
165	307	1546
166	309	1543
167	311	1542
168	313	1540
169	314	1537
170	316	1534
171	318	1534
172	320	1533
173	322	1531
174	324	1529
175	326	1526
176	326	1519
177	328	1519
178	330	1516
179	332	1513
180	334	1511
181	336	1510
182	337	1507
183	339	1504
184	341	1503
185	343	1502
186	345	1500
187	346	1498
188	348	1495
189	350	1492
190	352	1491
191	353	1489
192	355	1486
193	357	1483
194	359	1482
195	360	1480
196	362	1478
197	364	1477
198	366	1474
199	367	1471
200	369	1467
201	370	1464
202	372	1461
203	374	1459
204	376	1458
205	378	1456
206	379	1454
207	381	1452
208	383	1449
209	384	1447
210	386	1445
211	388	1443
212	390	1442
213	391	1439
214	393	1437
215	395	1434
216	397	1433
217	399	1431
218	400	1429
219	402	1426
220	404	1425
221	406	1423
222	407	1420
223	409	1419
224	411	1418
225	413	1415
226	414	1413
227	416	1411
228	418	1408
229	420	1406
230	421	1404
231	423	1402
232	425	1400
233	427	1398
234	429	1396
235	430	1394
236	432	1392
237	434	1390
238	436	1388
239	437	1386
240	439	1384
241	441	1382
242	443	1381
243	445	1379
244	447	1378
245	448	1375
246	450	1373
247	452	1371
248	453	1369
249	455	1366
250	457	1365
251	459	1364
252	461	1362
253	463	1360
254	465	1358
255	467	1357
256	469	1356
257	470	1353
258	472	1351
259	474	1349
260	475	1347
261	477	1345
262	479	1342
263	481	1342
264	483	1340
265	484	1337
266	486	1336
267	488	1334
268	490	1332
269	492	1331
270	493	1328
271	495	1326
272	497	1324
273	499	1322
274	501	1321
275	502	1319
276	504	1317
277	506	1315
278	508	1313
279	510	1311
280	512	1311
281	514	1308
282	516	1307
283	517	1305
284	519	1302
285	521	1300
286	522	1298
287	524	1296
288	526	1295
289	528	1293
290	530	1291
291	531	1289
292	533	1288
293	535	1286
294	537	1284
295	539	1282
296	540	1280
297	542	1278
298	545	1277
299	546	1275
300	548	1273
301	549	1270
302	551	1268
303	553	1267
304	555	1265
305	557	1264
306	559	1261
307	560	1259
308	562	1258
309	564	1256
310	566	1254
311	568	1252
312	569	1250
313	571	1248
314	573	1246
315	575	1245
316	576	1242
317	578	1240
318	579	1237
319	581	1236
320	583	1233
321	585	1232
322	587	1230
323	588	1228
324	590	1226
325	592	1224
326	593	1221
327	595	1219
328	597	1218
329	598	1215
330	600	1213
331	602	1211
332	604	1210
333	605	1208
334	607	1206
335	609	1204
336	611	1202
337	612	1200
338	614	1199
339	616	1197
340	618	1195
341	620	1193
342	622	1191
343	623	1189
344	625	1187
345	627	1186
346	629	1184
347	631	1182
348	633	1180
349	634	1179
350	636	1177
351	638	1175
352	640	1173
353	641	1171
354	643	1169
355	645	1167
356	646	1165
357	648	1163
358	650	1161
359	652	1159
360	654	1158
361	656	1156
362	657	1154
363	659	1151
364	661	1150
365	663	1148
366	664	1146
367	666	1145
368	668	1143
369	670	1141
370	671	1139
371	673	1137
372	675	1135
373	677	1134
374	679	1132
375	681	1130
376	683	1128
377	684	1127
378	686	1125
379	688	1122
380	690	1121
381	691	1119
382	693	1117
383	695	1115
384	697	1113
385	698	1111
386	700	1109
387	702	1107
388	704	1106
389	706	1104
390	708	1102
391	709	1100
392	711	1098
393	713	1096
394	715	1095
395	716	1093
396	718	1090
397	720	1089
398	721	1087
399	723	1085
400	725	1083
401	727	1081
402	729	1079
403	730	1078
404	732	1076
405	734	1074
406	736	1072
407	737	1070
408	739	1069
409	741	1066
410	743	1065
411	745	1063
412	746	1060
413	748	1059
414	750	1057
415	752	1055
416	754	1054
417	755	1052
418	757	1050
419	759	1048
420	761	1046
421	762	1044
422	764	1042
423	766	1041
424	768	1039
425	769	1037
426	771	1035
427	773	1033
428	775	1032
429	777	1030
430	779	1028
431	781	1027
432	783	1025
433	784	1023
434	786	1021
435	787	1019
436	789	1017
437	791	1015
438	792	1013
439	794	1011
440	797	1010
441	799	1008
442	801	1007
443	802	1005
444	804	1003
445	806	1001
446	808	999
447	809	997
448	811	995
449	813	994
450	815	992
451	816	990
452	818	988
453	820	986
454	822	984
455	824	983
456	825	981
457	827	979
458	829	977
459	831	976
460	833	974
461	834	972
462	836	970
463	838	968
464	839	966
465	841	964
466	843	962
467	845	960
468	847	959
469	848	957
470	850	955
471	852	953
472	854	952
473	856	950
474	857	948
475	859	946
476	861	944
477	862	942
478	864	940
479	866	938
480	867	936
481	869	934
482	871	932
483	873	930
484	874	929
485	876	926
486	877	924
487	879	922
488	880	920
489	882	918
490	884	916
491	886	915
492	888	913
493	889	911
494	891	909
495	893	907
496	894	905
497	896	903
498	898	901
499	900	900
500	901	898
501	903	896
502	905	894
503	907	892
504	908	890
505	910	888
506	912	887
507	913	885
508	915	883
509	917	881
510	919	879
511	921	878
512	923	876
513	924	874
514	926	872
515	927	870
516	929	868
517	931	866
518	932	864
519	934	862
520	936	860
521	938	858
522	939	857
523	941	855
524	943	853
525	944	851
526	946	849
527	948	848
528	950	846
529	952	844
530	953	842
531	955	840
532	956	838
533	958	836
534	960	834
535	961	832
536	963	831
537	965	829
538	967	827
539	969	825
540	970	823
541	972	821
542	974	819
543	976	818
544	977	816
545	979	814
546	981	812
547	983	810
548	984	809
549	986	807
550	988	805
551	990	803
552	992	801
553	993	800
554	995	798
555	996	796
556	998	794
557	1000	792
558	1001	790
559	1003	788
560	1005	786
561	1007	784
562	1008	783
563	1010	781
564	1012	779
565	1014	777
566	1015	775
567	1017	774
568	1019	772
569	1022	770
570	1023	769
571	1025	767
572	1027	765
573	1029	763
574	1030	761
575	1032	759
576	1034	758
577	1035	756
578	1037	754
579	1039	752
580	1041	751
581	1043	749
582	1044	747
583	1046	745
584	1047	743
585	1049	741
586	1051	739
587	1054	738
588	1055	736
589	1057	734
590	1059	733
591	1060	731
